Rank,Title,Year,Box Office
1,Avatar,"$2,923,710,708","$785,221,649"
2,Avengers: Endgame,"$2,799,439,100","$858,373,000"
3,Avatar: The Way of Water,"$2,334,484,620","$688,459,501"
4,Ne Zha 2,"$2,267,446,370","$23,308,176"
5,Titanic,"$2,264,812,968","$674,354,882"
6,Star Wars: Episode VII - The Force Awakens,"$2,071,310,218","$936,662,225"
7,Avengers: Infinity War,"$2,052,415,039","$678,815,482"
8,Spider-Man: No Way Home,"$1,921,426,073","$814,866,759"
9,Zootopia 2,"$1,866,647,950","$428,130,160"
10,Inside Out 2,"$1,698,863,816","$652,980,194"
11,Jurassic World,"$1,671,537,444","$653,406,625"
12,The Lion King,"$1,662,020,819","$543,638,043"
13,The Avengers,"$1,520,538,536","$623,357,910"
14,Furious 7,"$1,515,342,457","$353,007,020"
15,Top Gun: Maverick,"$1,503,997,086","$718,732,821"
16,Avatar: Fire and Ash,"$1,485,951,561","$404,291,681"
17,Frozen II,"$1,453,683,476","$477,373,578"
18,Barbie,"$1,447,138,421","$636,238,421"
19,Avengers: Age of Ultron,"$1,405,018,048","$459,005,868"
20,The Super Mario Bros. Movie,"$1,360,650,924","$574,934,330"
21,Black Panther,"$1,349,926,083","$700,426,566"
22,Harry Potter and the Deathly Hallows: Part 2,"$1,342,942,050","$381,884,297"
23,Deadpool & Wolverine,"$1,338,073,645","$636,745,858"
24,Star Wars: Episode VIII - The Last Jedi,"$1,334,407,706","$620,181,382"
25,Frozen,"$1,312,075,093","$400,953,009"
26,Jurassic World: Fallen Kingdom,"$1,308,566,455","$417,719,760"
27,Beauty and the Beast,"$1,266,115,964","$504,481,165"
28,Incredibles 2,"$1,243,225,667","$608,581,744"
29,The Fate of the Furious,"$1,236,009,236","$226,008,385"
30,Iron Man 3,"$1,215,577,205","$409,013,994"
31,Minions,"$1,159,457,503","$336,045,770"
32,Captain America: Civil War,"$1,155,046,416","$408,084,349"
33,Aquaman,"$1,152,028,393","$335,104,314"
34,The Lord of the Rings: The Return of the King,"$1,149,078,006","$386,975,644"
35,Spider-Man: Far from Home,"$1,132,723,226","$391,283,774"
36,Captain Marvel,"$1,131,416,446","$426,829,839"
37,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543"
38,Skyfall,"$1,108,594,137","$304,360,277"
39,Transformers: Age of Extinction,"$1,105,261,713","$245,439,076"
40,Jurassic Park,"$1,103,110,411","$407,185,075"
